Date,Source,Brand,Product Name,RRP,Selling Price
3/9/2019,Broadway,SAMSUNG,SAMSUNG NOTE 10+ (256GB),7998,7998
3/9/2019,Broadway,SAMSUNG,SAMSUNG NOTE 10+ (512GB),8998,8998
3/9/2019,Broadway,SAMSUNG,SAMSUNG NOTE 9 (128GB),7698,5998
3/9/2019,Broadway,SAMSUNG,SAMSUNG NOTE 9 (512GB),9798,9798
3/9/2019,Broadway,SAMSUNG,SAMSUNG S10 (128GB),5998,5298
3/9/2019,Broadway,SAMSUNG,SAMSUNG S10+ (1TB),11998,11998
3/9/2019,Broadway,SAMSUNG,SAMSUNG S10+ (128GB),6998,6098
3/9/2019,Broadway,SAMSUNG,SAMSUNG S10E (128GB),5298,4698
3/9/2019,Broadway,SONY,SONY XPERIA 1 (128GB),6999,5999
3/9/2019,Broadway,SONY,SONY XPERIA 10 (64GB),2499,1999
3/9/2019,Broadway,SONY,SONY XPERIA 10 PLUS (64GB),2999,2599
3/9/2019,Broadway,SONY,SONY XPERIA L3 (32GB),1599,1599
3/9/2019,Broadway,HUAWEI,HUAWEI Y7 PRIME (32GB),1458,1458
3/9/2019,Broadway,ASUS,ASUS ZENFONE MAX M1 (32GB),1598,1598
4/9/2019,Broadway,SAMSUNG,SAMSUNG A8+ (64GB),4398,3798
4/9/2019,Broadway,HTC,HTC DESIRE 12+ (32GB),1998,1598
4/9/2019,Broadway,HUAWEI,HUAWEI MATE 20 (128GB),4688,3099
4/9/2019,Broadway,HUAWEI,HUAWEI MATE 20 PRO (128GB),5988,5988
4/9/2019,Broadway,HUAWEI,HUAWEI MATE 20X (128GB),5488,5488
4/9/2019,Broadway,HUAWEI,HUAWEI NOVA 3 (128GB),3588,2988
4/9/2019,Broadway,HUAWEI,HUAWEI P30 (128GB),4288,4088
4/9/2019,Broadway,HUAWEI,HUAWEI P30 LITE (128GB),2388,2388
4/9/2019,Broadway,HUAWEI,HUAWEI P30 PRO (256GB),5988,5498
4/9/2019,Broadway,HUAWEI,HUAWEI P30 PRO (512GB),6988,6398
4/9/2019,Broadway,HUAWEI,HUAWEI Y6 PRIME (32GB),1358,1358
4/9/2019,Broadway,HUAWEI,HUAWEI Y7 PRO (32GB),1558,1558
4/9/2019,Broadway,HUAWEI,HUAWEI Y9 (64GB),1688,1688
4/9/2019,Broadway,HUAWEI,HUAWEI Y9 PRIME (128GB),1888,1888
4/9/2019,Broadway,HUAWEI,HUAWEI NOVA 3I (128GB),2288,2288
4/9/2019,Broadway,HONOR,HONOR VIEW 20 (128GB),4099,3499
4/9/2019,Broadway,HONOR,HONOR VIEW 20 (256GB),4899,4199
4/9/2019,Broadway,LENOVO,LENOVO S5 (64GB),1399,1399
4/9/2019,Broadway,HUAWEI,HUAWEI MATE 10 PRO (128GB),5580,4680
4/9/2019,Broadway,NOKIA,NOKIA 4.2 (32GB),1288,1188
4/9/2019,Broadway,NOKIA,NOKIA 7 PLUS (64GB),3288,1988
4/9/2019,Broadway,NOKIA,NOKIA 8.1 (64GB),3388,2498
4/9/2019,Broadway,NOKIA,NOKIA 8.1 (128GB),3288,2698
4/9/2019,Broadway,NOKIA,NOKIA 5.1 PLUS (32GB),1588,950
4/9/2019,Broadway,NOKIA,NOKIA 9 PUREVIEW (128GB),4988,3998
4/9/2019,Broadway,SAMSUNG,SAMSUNG A20 (32GB),1498,1398
4/9/2019,Broadway,SAMSUNG,SAMSUNG A60 (128GB),2498,2498
4/9/2019,Broadway,SAMSUNG,SAMSUNG A70 (6GB),3098,2798
4/9/2019,Broadway,SAMSUNG,SAMSUNG A80 (128GB),4798,4298
4/9/2019,Broadway,SAMSUNG,SAMSUNG A8S (128GB),3298,3298
4/9/2019,Broadway,SAMSUNG,SAMSUNG A9 (128GB),3598,3598
4/9/2019,Broadway,SAMSUNG,SAMSUNG NOTE 10 (256GB),6998,6998
4/9/2019,Broadway,SAMSUNG,SAMSUNG NOTE 10+ (256GB),7998,7998
4/9/2019,Broadway,SAMSUNG,SAMSUNG NOTE 10+ (512GB),8998,8998
4/9/2019,Broadway,SAMSUNG,SAMSUNG NOTE 9 (128GB),7698,5998
4/9/2019,Broadway,SAMSUNG,SAMSUNG NOTE 9 (512GB),9798,7998
4/9/2019,Broadway,SAMSUNG,SAMSUNG S10 (128GB),5998,5298
4/9/2019,Broadway,SAMSUNG,SAMSUNG S10+ (1TB),11998,11998
4/9/2019,Broadway,SAMSUNG,SAMSUNG S10+ (128GB),6998,6098
4/9/2019,Broadway,SAMSUNG,SAMSUNG S10E (128GB),5298,4698
