Date,Source,Brand,Product Name,RRP,Selling Price
30/9/2019,SmarTone,SAMSUNG,SAMSUNG NOTE 9 (128GB),7698,4799
30/9/2019,SmarTone,SAMSUNG,SAMSUNG S10 (128GB),5998,5298
30/9/2019,SmarTone,SAMSUNG,SAMSUNG S10 (512GB),7998,6998
30/9/2019,SmarTone,SAMSUNG,SAMSUNG S10E (128GB),5298,4698
30/9/2019,SmarTone,SAMSUNG,SAMSUNG S10+ (128GB),6998,6098
30/9/2019,SmarTone,SAMSUNG,SAMSUNG S10+ (512GB),8998,7698
30/9/2019,SmarTone,SAMSUNG,SAMSUNG S10+ (1TB),11998,10598
30/9/2019,SmarTone,SAMSUNG,SAMSUNG TAB S5E (128GB),4488,4288
30/9/2019,SmarTone,SIGTONE,SIGTONE V8 (4GB),899,899
30/9/2019,SmarTone,SONY,SONY XPERIA 1 (128GB),6999,6099
30/9/2019,SmarTone,SONY,SONY XPERIA 10 PLUS (64GB),2999,2999
30/9/2019,SmarTone,SONY,SONY XPERIA 10 (64GB),2499,2499
30/9/2019,SmarTone,MI,MI 9 (128GB),3699,3599
30/9/2019,SmarTone,APPLE,APPLE IPHONE 11 PRO MAX (64GB),9499,9499
30/9/2019,SmarTone,APPLE,APPLE IPHONE 11 PRO MAX (256GB),10799,10799
30/9/2019,SmarTone,APPLE,APPLE IPHONE 11 PRO MAX (512GB),12499,12499
30/9/2019,SmarTone,APPLE,APPLE IPHONE 11 PRO (64GB),8599,8599
30/9/2019,SmarTone,APPLE,APPLE IPHONE 11 PRO (256GB),9899,9899
30/9/2019,SmarTone,APPLE,APPLE IPHONE 11 PRO (512GB),11599,11599
30/9/2019,SmarTone,APPLE,APPLE IPHONE 11 (64GB),5999,5999
30/9/2019,SmarTone,APPLE,APPLE IPHONE 11 (128GB),6499,6499
30/9/2019,SmarTone,APPLE,APPLE IPHONE 11 (256GB),7299,7299
30/9/2019,SmarTone,APPLE,APPLE IPHONE 8 PLUS (128GB),5399,5399
30/9/2019,SmarTone,APPLE,APPLE IPHONE 8 PLUS (64GB),4899,4899
30/9/2019,SmarTone,APPLE,APPLE IPHONE 8 (128GB),4399,4399
30/9/2019,SmarTone,APPLE,APPLE IPHONE 8 (64GB),3899,3899
30/9/2019,SmarTone,APPLE,APPLE IPHONE XR (64GB),5199,5049
30/9/2019,SmarTone,APPLE,APPLE IPHONE XR (128GB),5699,5549
30/9/2019,SmarTone,APPLE,APPLE IPHONE XR (256GB),7799,7199
30/9/2019,SmarTone,APPLE,APPLE IPHONE XS MAX (64GB),8599,8249
30/9/2019,SmarTone,APPLE,APPLE IPHONE XS MAX (256GB),9899,9599
30/9/2019,SmarTone,APPLE,APPLE IPHONE XS (64GB),7799,7449
30/9/2019,SmarTone,APPLE,APPLE IPHONE XS (256GB),9099,8749
1/10/2019,SmarTone,ALCATEL,ALCATEL U5 4G (8GB),799,499
1/10/2019,SmarTone,HTC,HTC U19E (128GB),3398,2998
1/10/2019,SmarTone,HUAWEI,HUAWEI P30 PRO (256GB),5988,5788
1/10/2019,SmarTone,HUAWEI,HUAWEI P30 LITE (128GB),2388,2388
1/10/2019,SmarTone,HUAWEI,HUAWEI P30 (128GB),4288,4188
1/10/2019,SmarTone,HUAWEI,HUAWEI Y9 PRIME (128GB),1888,1888
1/10/2019,SmarTone,HUAWEI,HUAWEI NOVA 4 (128GB),2988,2588
1/10/2019,SmarTone,HUAWEI,HUAWEI NOVA 5T (128GB),3088,3088
1/10/2019,SmarTone,NOKIA,NOKIA 3.2 (32GB),1398,1398
1/10/2019,SmarTone,NOKIA,NOKIA 4.2 (32GB),1288,1288
1/10/2019,SmarTone,NOKIA,NOKIA 5.1 PLUS (32GB),1588,1588
1/10/2019,SmarTone,NOKIA,NOKIA 7.2,2598,2598
1/10/2019,SmarTone,REDMI,REDMI 7 (64GB),1299,1249
1/10/2019,SmarTone,REDMI,REDMI NOTE SEVEN (128GB),1699,1599
1/10/2019,SmarTone,SAMSUNG,SAMSUNG A60 (128GB),2498,2498
1/10/2019,SmarTone,SAMSUNG,SAMSUNG A70 (6GB),3098,3098
1/10/2019,SmarTone,SAMSUNG,SAMSUNG A70 (8GB),3498,3298
1/10/2019,SmarTone,SAMSUNG,SAMSUNG A80 (128GB),4798,4298
1/10/2019,SmarTone,SAMSUNG,SAMSUNG NOTE 10 (256GB),6998,6998
1/10/2019,SmarTone,SAMSUNG,SAMSUNG NOTE 10+ (256GB),7998,7998
1/10/2019,SmarTone,SAMSUNG,SAMSUNG NOTE 10+ (512GB),8998,8998
1/10/2019,SmarTone,SAMSUNG,SAMSUNG NOTE 9 (128GB),7698,4799
1/10/2019,SmarTone,SAMSUNG,SAMSUNG S10 (128GB),5998,5298
1/10/2019,SmarTone,SAMSUNG,SAMSUNG S10 (512GB),7998,6998
1/10/2019,SmarTone,SAMSUNG,SAMSUNG S10E (128GB),5298,4698
1/10/2019,SmarTone,SAMSUNG,SAMSUNG S10+ (128GB),6998,6098
1/10/2019,SmarTone,SAMSUNG,SAMSUNG S10+ (512GB),8998,7698
1/10/2019,SmarTone,SAMSUNG,SAMSUNG S10+ (1TB),11998,10598
1/10/2019,SmarTone,SAMSUNG,SAMSUNG TAB S5E (128GB),4488,4288
1/10/2019,SmarTone,SIGTONE,SIGTONE V8 (4GB),899,899
1/10/2019,SmarTone,SONY,SONY XPERIA 1 (128GB),6999,6099
1/10/2019,SmarTone,SONY,SONY XPERIA 10 PLUS (64GB),2999,2999
1/10/2019,SmarTone,SONY,SONY XPERIA 10 (64GB),2499,2499
1/10/2019,SmarTone,MI,MI 9 (128GB),3699,3599
1/10/2019,SmarTone,APPLE,APPLE IPHONE 11 PRO MAX (64GB),9499,9499
1/10/2019,SmarTone,APPLE,APPLE IPHONE 11 PRO MAX (256GB),10799,10799
1/10/2019,SmarTone,APPLE,APPLE IPHONE 11 PRO MAX (512GB),12499,12499
1/10/2019,SmarTone,APPLE,APPLE IPHONE 11 PRO (64GB),8599,8599
1/10/2019,SmarTone,APPLE,APPLE IPHONE 11 PRO (256GB),9899,9899
1/10/2019,SmarTone,APPLE,APPLE IPHONE 11 PRO (512GB),11599,11599
1/10/2019,SmarTone,APPLE,APPLE IPHONE 11 (64GB),5999,5999
1/10/2019,SmarTone,APPLE,APPLE IPHONE 11 (128GB),6499,6499
1/10/2019,SmarTone,APPLE,APPLE IPHONE 11 (256GB),7299,7299
1/10/2019,SmarTone,APPLE,APPLE IPHONE 8 PLUS (128GB),5399,5399
1/10/2019,SmarTone,APPLE,APPLE IPHONE 8 PLUS (64GB),4899,4899
1/10/2019,SmarTone,APPLE,APPLE IPHONE 8 (128GB),4399,4399
1/10/2019,SmarTone,APPLE,APPLE IPHONE 8 (64GB),3899,3899
1/10/2019,SmarTone,APPLE,APPLE IPHONE XR (64GB),5199,5049
1/10/2019,SmarTone,APPLE,APPLE IPHONE XR (128GB),5699,5549
1/10/2019,SmarTone,APPLE,APPLE IPHONE XR (256GB),7799,7199
1/10/2019,SmarTone,APPLE,APPLE IPHONE XS MAX (64GB),8599,8249
1/10/2019,SmarTone,APPLE,APPLE IPHONE XS MAX (256GB),9899,9599
1/10/2019,SmarTone,APPLE,APPLE IPHONE XS (64GB),7799,7449
1/10/2019,SmarTone,APPLE,APPLE IPHONE XS (256GB),9099,8749
4/10/2019,SmarTone,ALCATEL,ALCATEL U5 4G (8GB),799,499
4/10/2019,SmarTone,HTC,HTC U19E (128GB),3398,2998
4/10/2019,SmarTone,HUAWEI,HUAWEI P30 PRO (256GB),5988,5788
